Título,Capa
Battle Royale,./50.jpg
Admirável novo mundo,./51.jpg
Jogos Vorazes,./52.jpg
Em Chamas,./53.jpg
A Esperança,./54.jpg
A cantiga dos pássaros e das serpentes,./55.jpg
O conto da aia,./56.jpg
A Seleção,./57.jpg
A Elite,./58.jpg
A Escolha,./59.jpg
A Herdeira,./60.jpg
A Coroa,./61.jpg
Felizes para sempre,./62.jpg
Metro 2033,./63.jpg
As quatro rainhas mortas,./64.jpg
O Orfanato da Srta.Peregrine para crianças peculiares,./65.jpg
Cidade dos Etéreos,./66.jpg
Biblioteca de Almas,./67.jpg
Mapa dos dias,./68.jpg
A convenção das aves,./69.jpg
As desolações do recanto do demônio,./70.jpg
Duna,./8.jpg
Messias de Duna,./9.jpg
Filhos de Duna,./10.jpg
Imperador Deus de Duna,./11.jpg
Hereges de Duna,./12.jpg
Herdeiras de Duna,./13.jpg
A Lâmina Assassina,./80.jpg
Trono de vidro,./79.jpg
Coroa da Meia-Noite,./81.jpg
Herdeira do Fogo,./82.jpg
Rainha das Sombras,./83.jpg
Império de Tempestades,./84.jpg
Torre do Alvorecer,./85.jpg
Reino de Cinzas,./86.jpg
A rainha vermelha,./91.jpg
Canção da rainha,./92.jpg
Cicatrizes de aço,./93.jpg
Espada de vidro,./94.jpg
A prisão do rei,./95.jpg
Tempestade de guerra,./96.jpg
Trono destruído,./97.jpg
As brumas de Avalon,./104.jpg
A casa da floresta,./105.jpg
A senhora de Avalon,./106.jpg
A sacerdotisa de Avalon,./107.jpg
Ancestrais de Avalon,./108.jpg
Estilhaça-me,./109.jpg
Unifica-me,./110.jpg
Liberta-me,./111.jpg
Incendeia-me,./112.jpg
Restaura-me,./113.jpg
Desafia-me,./114.jpg
Decifra-me,./115.jpg
Imagina-me,./116.jpg
Aceita-me,./117.jpg
A Guerra dos Tronos,./124.jpg
A fúria dos reis,./125.jpg
A tormenta de espadas,./126.jpg
O festim dos corvos,./127.jpg
A dança dos dragões,./128.jpg
A Guerra dos Mundos,./132.jpg
A Biblioteca da meia noite,./133.jpg
Saboro Cadáver,./205.jpg
