Título,Capa
Frankenstein,./122.jpg
Moby Dick,./123.jpg
A Guerra dos Tronos,./124.jpg
A fúria dos reis,./125.jpg
A tormenta de espadas,./126.jpg
O festim dos corvos,./127.jpg
A dança dos dragões,./128.jpg
O Sol é para todos,./129.jpg
O guia do mochileiro das galáxias,./130.jpg
O Silêncio da Casa Fria,./131.jpg
A Guerra dos Mundos,./132.jpg
A Biblioteca da meia noite,./133.jpg
A Ilha do Tesouro,./1.jpg
Caraval,./2.jpg
Lendário,./3.jpg
Finale,./4.jpg
Destruidor de mundos,./5.jpg
Destruidor de espadas,./6.jpg
O Hobbit,./7.jpg
Duna,./8.jpg
Messias de Duna,./9.jpg
Filhos de Duna,./10.jpg
Imperador Deus de Duna,./11.jpg
Hereges de Duna,./12.jpg
Herdeiras de Duna,./13.jpg
Cidade da Lua Crescente,./14.jpg
Casa de Céu e Sopro,./15.jpg
Casa de Chama e Sombra,./16.jpg
Harry Potter e a Pedra Filosofal,./17.jpg
Harry Potter e a Câmara Secreta,./18.jpg
Harry Potter e o Prisioneiro de Azkaban,./19.jpg
Harry Potter e o Cálice de Fogo,./20.jpg
Harry Potter e a Ordem da Fênix,./21.jpg
Harry Potter e o Enigma do Príncipe,./22.jpg
Harry Potter e as Relíquias da Morte,./23.jpg
Mau começo,./24.jpg
A Sala dos Répteis,./25.jpg
O Lago das Sanguessugas,./26.jpg
Serraria Baixo-astral,./27.jpg
Inferno no cólegio interno,./28.jpg
O Elevador Erstraz,./29.jpg
A Cidade Sinistra dos Corvos,./30.jpg
O Hospital Hostil,./31.jpg
O Espetáculo Carnívoro,./32.jpg
O Escorregador de Gelo,./33.jpg
A Gruta Gorgônea,./34.jpg
O Penúltimo Perigo,./35.jpg
O Fim,./36.jpg
Os Goonies,./37.jpg
As Crônicas de Nárnia,./38.jpg
Coraline,./39.jpg
O ladrão de raios,./40.jpg
O mar de monstros,./41.jpg
A maldição do titã,./42.jpg
A batalha do labirinto,./43.jpg
O último olimpiano,./44.jpg
O cálice dos deuses,./45.jpg
A fúria da deusa tríplice,./46.jpg
A volta ao mundo em 80 dias,./47.jpg
Alice no País das Maravilhas,./48.jpg
Alice Através do Espelho,./49.jpg
Battle Royale,./50.jpg
Jogos Vorazes,./52.jpg
Em Chamas,./53.jpg
A Esperança,./54.jpg
A cantiga dos pássaros e das serpentes,./55.jpg
O conto da aia,./56.jpg
A Seleção,./57.jpg
A Elite,./58.jpg
A Escolha,./59.jpg
A Herdeira,./60.jpg
A Coroa,./61.jpg
Felizes para sempre,./62.jpg
As quatro rainhas mortas,./64.jpg
O Orfanato da Srta.Peregrine para crianças peculiares,./65.jpg
Cidade dos Etéreos,./66.jpg
Biblioteca de Almas,./67.jpg
Mapa dos dias,./68.jpg
A convenção das aves,./69.jpg
As desolações do recanto do demônio,./70.jpg
Admirável novo mundo,./51.jpg
O caçador de pipas,./74.jpg
A Lâmina Assassina,./80.jpg
Trono de vidro,./79.jpg
Coroa da Meia-Noite,./81.jpg
Herdeira do Fogo,./82.jpg
Rainha das Sombras,./83.jpg
Império de Tempestades,./84.jpg
Torre do Alvorecer,./85.jpg
Reino de Cinzas,./86.jpg
O nome do vento,./87.jpg
O Temor do sábio,./88.jpg
A música do silêncio,./89.jpg
O estreito caminho entre desejos,./90.jpg
A rainha vermelha,./91.jpg
Canção da rainha,./92.jpg
Cicatrizes de aço,./93.jpg
Espada de vidro,./94.jpg
A prisão do rei,./95.jpg
Tempestade de guerra,./96.jpg
Trono destruído,./97.jpg
Os garotos corvos,./98.jpg
Ladrões de sonhos,./99.jpg
"Lírio azul, azul lírio",./100.jpg
O rei Corvo,./101.jpg
Opala,./102.jpg
A maldição do mar,./103.jpg
As brumas de Avalon,./104.jpg
A casa da floresta,./105.jpg
A senhora de Avalon,./106.jpg
A sacerdotisa de Avalon,./107.jpg
Ancestrais de Avalon,./108.jpg
Estilhaça-me,./109.jpg
Unifica-me,./110.jpg
Liberta-me,./111.jpg
Incendeia-me,./112.jpg
Restaura-me,./113.jpg
Desafia-me,./114.jpg
Decifra-me,./115.jpg
Imagina-me,./116.jpg
Aceita-me,./117.jpg
Os noivos do inverno,./118.jpg
Desaparecidos em Luz da Lua,./119.jpg
A Memória de Babel,./120.jpg
A Tempestade de Ecos,./121.jpg
A mandíbula de Caim,./135.jpg
Um Estudo em Vermelho,./136.jpg
O signo dos quatro,./137.jpg
As Aventuras de Sherlock Holmes,./138.jpg
As Memórias de Sherlock Holmes,./139.jpg
O Cão dos Baskerville,./140.jpg
A Volta de Sherlock Holmes,./141.jpg
O Vale do Medo,./142.jpg
O Último adeus de Sherlock Holmes,./143.jpg
Os Arquivos de Sherlock Holmes,./144.jpg
Natureza-morta,./146.jpg
Graça Fatal,./147.jpg
O mais cruel dos meses,./148.jpg
É proibido matar,./149.jpg
Revelação brutal,./150.jpg
Enterre seus mortos,./151.jpg
Um truque de luz,./152.jpg
Os Homens que não amavam as mulheres,./154.jpg
A Menina que brincava com fogo,./155.jpg
A Rainha do castelo de ar,./156.jpg
A Garota na teia de aranha,./157.jpg
O Homem que buscava sua sombra,./158.jpg
A Garota marcada para morrer,./159.jpg
Um de nós está mentindo,./160.jpg
Um de nós é o próximo,./161.jpg
Um de nós está de volta,./162.jpg
Como se vingar de um cretino,./175.jpg
Como encantar um canalha,./176.jpg
Como salvar um herói,./177.jpg
Os sete maridos de Evelyn Hugo,./184.jpg
"Rastro de sangue: Jack, o Estripador",./185.jpg
Rastro de sangue : Príncipe Drácula,./186.jpg
Rastro de Sangue: O Grande Houdini,./187.jpg
"Rastro de Sangue: Holmes, o Maligno",./188.jpg
O Segredo da Livraria de Paris,./190.jpg
A paciente sileciosa,./191.jpg
A empregada,./192.jpg
O segredo da empregada,./193.jpg
A empregada está de olho,./194.jpg
Jantar secreto,./195.jpg
Livrai-nos do mal,./196.jpg
O iluminado,./197.jpg
Doutor Sono,./198.jpg
O que está lá fora,./199.jpg
A família perfeita,./200.jpg
O cemitério,./202.jpg
O colecionador,./203.jpg
O vilarejo,./204.jpg
Saboroso cadáver,./205.jpg
O bebê de Rosemary,./206.jpg
Entre quatro paredes,./207.jpg
O exorcista,./208.jpg
Drácula,./209.jpg
