Título,Capa
A Ilha do Tesouro,./1.jpg
Caraval,./2.jpg
Lendário,./3.jpg
Finale,./4.jpg
Destruidor de mundos,./5.jpg
Destruidor de espadas,./6.jpg
O Hobbit,./7.jpg
Duna,./8.jpg
Messias de Duna,./9.jpg
Filhos de Duna,./10.jpg
Imperador Deus de Duna,./11.jpg
Hereges de Duna,./12.jpg
Herdeiras de Duna,./13.jpg
Cidade da Lua Crescente,./14.jpg
Casa de Céu e Sopro,./15.jpg
Casa de Chama e Sombra,./16.jpg
Harry Potter e a Pedra Filosofal,./17.jpg
Harry Potter e a Câmara Secreta,./18.jpg
Harry Potter e o Prisioneiro de Azkaban,./19.jpg
Harry Potter e o Cálice de Fogo,./20.jpg
Harry Potter e a Ordem da Fênix,./21.jpg
Harry Potter e o Enigma do Príncipe,./22.jpg
Harry Potter e as Relíquias da Morte,./23.jpg
Mau começo,./24.jpg
A Sala dos Répteis,./25.jpg
O Lago das Sanguessugas,./26.jpg
Serraria Baixo-astral,./27.jpg
Inferno no cólegio interno,./28.jpg
O Elevador Erstraz,./29.jpg
A Cidade Sinistra dos Corvos,./30.jpg
O Hospital Hostil,./31.jpg
O Espetáculo Carnívoro,./32.jpg
O Escorregador de Gelo,./33.jpg
A Gruta Gorgônea,./34.jpg
O Penúltimo Perigo,./35.jpg
O Fim,./36.jpg
As Crônicas de Nárnia,./38.jpg
O ladrão de raios,./40.jpg
O mar de monstros,./41.jpg
A maldição do titã,./42.jpg
A batalha do labirinto,./43.jpg
O último olimpiano,./44.jpg
O cálice dos deuses,./45.jpg
A fúria da deusa tríplice,./46.jpg
Jogos Vorazes,./52.jpg
Em Chamas,./53.jpg
A Esperança,./54.jpg
A cantiga dos pássaros e das serpentes,./55.jpg
A Lâmina Assassina,./80.jpg
Trono de vidro,./79.jpg
Coroa da Meia-Noite,./81.jpg
Herdeira do Fogo,./82.jpg
Rainha das Sombras,./83.jpg
Império de Tempestades,./84.jpg
Torre do Alvorecer,./85.jpg
Reino de Cinzas,./86.jpg
Estilhaça-me,./109.jpg
Unifica-me,./110.jpg
Liberta-me,./111.jpg
Incendeia-me,./112.jpg
Restaura-me,./113.jpg
Desafia-me,./114.jpg
Decifra-me,./115.jpg
Imagina-me,./116.jpg
Aceita-me,./117.jpg
Moby Dick,./123.jpg
A Guerra dos Mundos,./132.jpg
"Jack, o Estripador",./185.jpg
Príncipe Drácula,./186.jpg
O Grande Houdini,./187.jpg
"Holmes, o Maligno",./188.jpg
